fragment,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
COC,0,0,1,0,0,0,0,0
CC,0,0,0,0,0,0,0,0
CCC,0,0,0,0,0,0,0,0
CN,1,0,0,0,0,0,0,0
CC1=CC=CC=C1,0,0,0,0,0,0,1,0
C1=CC=CC=C1,0,0,0,0,0,0,1,0
CCN,1,0,0,0,0,0,0,0
C=O,0,0,1,0,1,0,0,0
N,1,0,0,0,0,0,0,0
CCO,0,0,1,0,0,0,0,0
C,0,0,0,0,0,0,0,0
CC=O,0,0,1,0,1,0,0,0
CNC,1,0,0,0,0,0,0,0
NC=O,1,0,1,0,1,0,0,0
CC#N,1,0,0,0,0,1,0,0
FC1=CC=CC=C1,0,0,0,1,0,0,1,0
CC(N)=O,1,0,1,0,1,0,0,0
NC1=CC=CC=C1,1,0,0,0,0,0,1,0
CNC(C)=O,1,0,1,0,1,0,0,0
ClC1=CC=CC=C1,0,0,0,1,0,0,1,0
CO,0,0,1,0,0,0,0,0
CC1CC1,0,0,0,0,0,0,0,1
CC1=CC=CO1,0,0,1,0,0,0,1,0
CNC=O,1,0,1,0,1,0,0,0
CC1=CC=CS1,0,1,0,0,0,0,1,0
CS,0,1,0,0,0,0,0,0
FC(F)F,0,0,0,3,0,0,0,0
CC(C)C,0,0,0,0,0,0,0,0
OC1=CC=CC=C1,0,0,1,0,0,0,1,0
C1=CNCNC1,2,0,0,0,1,0,0,1
CN1C=CC=N1,2,0,0,0,0,0,1,0
CC1=CC=CC=N1,1,0,0,0,0,0,1,0
CSC,0,1,0,0,0,0,0,0
NC1CC1,1,0,0,0,0,0,0,1
CN1CCOCC1,1,0,1,0,0,0,0,1
CC1=CC=CN=C1,1,0,0,0,0,0,1,0
C[SH](=O)=O,0,1,2,0,2,0,0,0
O=S=O,0,1,2,0,2,0,0,0
CCNC,1,0,0,0,0,0,0,0
CC1=CC=NC=C1,1,0,0,0,0,0,1,0
C1=C[NH]N=C1,2,0,0,0,0,0,1,0
CCNC(C)=O,1,0,1,0,1,0,0,0
FCF,0,0,0,2,0,0,0,0
C=CC,0,0,0,0,1,0,0,0
CC1=N[NH]C=C1,2,0,0,0,0,0,1,0
CCOC,0,0,1,0,0,0,0,0
CF,0,0,0,1,0,0,0,0
CCC(N)=O,1,0,1,0,1,0,0,0
CC1CCCO1,0,0,1,0,0,0,0,1
O=C1CCCN1,1,0,1,0,1,0,0,1
BrC1=CC=CC=C1,0,0,0,1,0,0,1,0
CN1CCCC1,1,0,0,0,0,0,0,1
