fragment,count
3218693969,8074516
3217380708,6319726
951226070,4145346
2968968094,2711673
2246728737,2572786
864942730,2199795
2245384272,2121169
98513984,1753862
2041434490,1626192
2246699815,1554812
1510328189,1551529
847961216,1182165
2092489639,1101275
994485099,926751
2803848648,755034
864674487,699134
422715066,693869
2117068077,617642
2976033787,616824
3189457552,505504
882399112,491767
2142032900,479760
1790668568,431334
3537119515,406499
2245273601,389792
1100037548,373333
3975275337,366516
717512901,363799
1101907775,354080
3776905034,338597
3542456614,335697
1054767590,335264
2228063684,327417
10565946,305259
3337745083,294746
3351556771,284899
4121755354,261433
3777168895,255832
3315826729,253469
2994748777,250296
2076190208,245210
2132511834,244655
3918336191,242877
848128881,225379
3458774156,223664
435232729,212183
1135286194,205453
1257718710,204418
3162837314,190084
1016841875,187351
3818546315,185543
3537123720,185264
847957139,184705
3452535345,183830
3908647167,180924
999334238,163722
485463469,163451
2309124039,161332
3124581743,160660
864662311,156660
787069595,156419
1276993226,151233
1857396528,149574
3657471097,142742
1792562719,141447
2115476908,137696
4041573576,137522
2245900962,133168
2811394787,132582
2353112200,130509
2435680164,130389
2245277810,128839
1637836422,128665
3118255683,119005
3207567135,117262
1167322652,114201
2434373675,114191
3983062349,110777
2551483158,110385
847433064,110385
571978829,109080
3624155,108484
3460898310,107258
1791271074,105789
729796064,103876
1026928756,103795
4089138501,102872
3376021752,101238
1842898132,99643
1083852209,96691
1362518133,95677
2119439498,94456
2424973678,92837
3182824521,90350
572760528,88836
368531313,88726
4033380444,88664
203749390,88634
2447826885,88510
1078211001,87561
4008337421,86602
2473389857,85939
1510461303,83630
2246340824,83290
2089117413,82512
4197146180,80683
3545365497,80475
2257970297,80142
2976816164,78968
54936104,78194
2827868305,75951
3994088662,74964
3554022385,74692
1271691605,72573
3992410619,72516
540046244,71932
2222715027,71823
2223687999,71759
1868602760,70776
4036277955,68872
2296565457,68782
2110118862,68633
3796841743,68581
551287920,68300
3203709451,68063
2591432844,67686
1173125914,67600
1634606847,67383
616374597,67239
1858577693,66068
3579962709,65868
3772302167,65728
2251883808,64854
1693331843,64581
963029399,63951
1738265797,63500
2697110228,63078
3995043796,60866
3143719699,60742
2154935424,59791
4194776273,59776
2806018737,59621
3820826669,59027
2360741695,57639
